"posteam","defteam","season","season_type","week","yardline_100","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","qtr","goal_to_go","ydstogo","home_timeouts_remaining","away_timeouts_remaining","posteam_score","defteam_score","score_differential","wind","temp","go_for_it","home"
"CHI","ATL",2011,"REG",1,23,603,1503,3303,1,"0",6,3,3,0,0,0,7,76,"0","1"
"ATL","CHI",2011,"REG",1,30,330,1230,3030,1,"0",3,3,3,0,3,-3,7,76,"0","0"
"CHI","ATL",2011,"REG",1,83,235,1135,2935,1,"0",2,3,3,3,3,0,7,76,"0","1"
"CHI","ATL",2011,"REG",1,61,881,881,2681,2,"0",11,3,3,10,3,7,7,76,"0","1"
"ATL","CHI",2011,"REG",1,99,758,758,2558,2,"0",13,3,3,3,10,-7,7,76,"0","0"
"CHI","ATL",2011,"REG",1,5,527,527,2327,2,"1",5,2,3,10,3,7,7,76,"0","1"
"ATL","CHI",2011,"REG",1,55,383,383,2183,2,"0",11,2,3,3,13,-10,7,76,"0","0"
"CHI","ATL",2011,"REG",1,8,59,59,1859,2,"0",1,1,1,13,3,10,7,76,"0","1"
"ATL","CHI",2011,"REG",1,7,617,1517,1517,3,"1",7,3,2,3,16,-13,7,76,"0","0"
"ATL","CHI",2011,"REG",1,38,209,1109,1109,3,"0",22,1,2,6,30,-24,7,76,"0","0"
"CHI","ATL",2011,"REG",1,94,167,1067,1067,3,"0",10,1,2,30,6,24,7,76,"0","1"
"ATL","CHI",2011,"REG",1,55,900,900,900,4,"0",20,1,2,6,30,-24,7,76,"0","0"
"CHI","ATL",2011,"REG",1,87,467,467,467,4,"0",17,0,2,30,12,18,7,76,"0","1"
"ATL","CHI",2011,"REG",1,65,373,373,373,4,"0",20,0,2,12,30,-18,7,76,"0","0"
"CHI","ATL",2011,"REG",1,73,295,295,295,4,"0",11,0,2,30,12,18,7,76,"0","1"
"ATL","CHI",2011,"REG",1,15,171,171,171,4,"0",10,0,1,12,30,-18,7,76,"1","0"
"CHI","ATL",2011,"REG",1,85,71,71,71,4,"0",10,0,1,30,12,18,7,76,"0","1"
"CHI","ATL",2011,"REG",1,90,22,22,22,4,"0",15,0,1,30,12,18,7,76,"0","1"
"KC","BUF",2011,"REG",1,70,638,1538,3338,1,"0",8,3,3,0,7,-7,0,75,"0","1"
"BUF","KC",2011,"REG",1,63,503,1403,3203,1,"0",9,3,3,7,0,7,0,75,"0","0"
"KC","BUF",2011,"REG",1,83,425,1325,3125,1,"0",13,3,3,0,7,-7,0,75,"0","1"
"BUF","KC",2011,"REG",1,38,377,1277,3077,1,"0",4,3,3,7,0,7,0,75,"0","0"
"KC","BUF",2011,"REG",1,80,284,1184,2984,1,"0",4,3,3,0,7,-7,0,75,"0","1"
"KC","BUF",2011,"REG",1,31,711,711,2511,2,"0",20,3,3,0,14,-14,0,75,"0","1"
"BUF","KC",2011,"REG",1,11,410,410,2210,2,"0",3,3,2,14,0,14,0,75,"0","0"
"BUF","KC",2011,"REG",1,20,342,342,2142,2,"0",9,2,2,17,0,17,0,75,"0","0"
"BUF","KC",2011,"REG",1,54,711,1611,1611,3,"0",15,3,3,20,7,13,0,75,"0","0"
"KC","BUF",2011,"REG",1,75,620,1520,1520,3,"0",16,3,3,7,20,-13,0,75,"0","1"
"KC","BUF",2011,"REG",1,76,198,1098,1098,3,"0",8,3,3,7,27,-20,0,75,"0","1"
"KC","BUF",2011,"REG",1,64,900,900,900,4,"0",4,3,3,7,34,-27,0,75,"0","1"
"KC","BUF",2011,"REG",1,64,579,579,579,4,"0",5,3,3,7,41,-34,0,75,"0","1"
"BUF","KC",2011,"REG",1,57,406,406,406,4,"0",6,3,3,41,7,34,0,75,"0","0"
"KC","BUF",2011,"REG",1,76,330,330,330,4,"0",6,3,3,7,41,-34,0,75,"0","1"
"KC","BUF",2011,"REG",1,72,200,200,200,4,"0",6,3,3,7,41,-34,0,75,"0","1"
"BUF","KC",2011,"REG",1,75,72,72,72,4,"0",15,3,2,41,7,34,0,75,"0","0"
"CLE","CIN",2011,"REG",1,79,787,1687,3487,1,"0",9,3,3,0,0,0,9,72,"0","1"
"CIN","CLE",2011,"REG",1,6,502,1402,3202,1,"0",5,3,3,0,0,0,9,72,"0","0"
"CLE","CIN",2011,"REG",1,92,399,1299,3099,1,"0",32,3,3,0,3,-3,9,72,"0","1"
"CLE","CIN",2011,"REG",1,74,62,962,2762,1,"0",4,3,3,0,10,-10,9,72,"0","1"
"CIN","CLE",2011,"REG",1,29,694,694,2494,2,"0",12,3,2,10,0,10,9,72,"0","0"
"CIN","CLE",2011,"REG",1,70,463,463,2263,2,"0",10,3,2,13,7,6,9,72,"0","0"
"CIN","CLE",2011,"REG",1,81,177,177,1977,2,"0",12,1,2,13,14,-1,9,72,"0","0"
"CLE","CIN",2011,"REG",1,60,124,124,1924,2,"0",4,1,2,14,13,1,9,72,"0","1"
"CIN","CLE",2011,"REG",1,47,53,53,1853,2,"0",4,1,1,13,14,-1,9,72,"0","0"
"CIN","CLE",2011,"REG",1,86,820,1720,1720,3,"0",6,3,3,13,14,-1,9,72,"0","0"
"CLE","CIN",2011,"REG",1,3,518,1418,1418,3,"1",3,3,3,14,13,1,9,72,"0","1"
